time,Donor,PlasmidFreeDonor,Recipient,Transconjugant
0.0,100000.0,0.0,100000.0,0.0
1.0,100020.0,0.0,100033.0,0.0
2.0,100045.0,0.0,100056.0,0.0
3.0,100078.0,0.0,100085.0,0.0
4.0,100103.0,0.0,100119.0,0.0
5.0,100118.0,0.0,100149.0,0.0
6.0,100145.0,0.0,100176.0,0.0
7.0,100171.0,0.0,100198.0,0.0
8.0,100197.0,0.0,100219.0,0.0
9.0,100224.0,0.0,100248.0,0.0
10.0,100259.0,0.0,100278.0,0.0
11.0,100285.0,0.0,100296.0,0.0
12.0,100318.0,0.0,100331.0,0.0
13.0,100351.0,0.0,100357.0,0.0
14.0,100375.0,0.0,100386.0,0.0
15.0,100400.0,0.0,100422.0,0.0
16.0,100423.0,0.0,100455.0,0.0
17.0,100448.0,0.0,100484.0,0.0
18.0,100477.0,0.0,100508.0,0.0
19.0,100510.0,0.0,100534.0,0.0
20.0,100543.0,0.0,100561.0,0.0
21.0,100565.0,0.0,100587.0,0.0
22.0,100586.0,0.0,100616.0,0.0
23.0,100612.0,0.0,100640.0,0.0
24.0,100641.0,0.0,100662.0,0.0
25.0,100670.0,0.0,100696.0,0.0
26.0,100689.0,0.0,100721.0,0.0
27.0,100719.0,0.0,100748.0,0.0
28.0,100748.0,0.0,100778.0,0.0
29.0,100773.0,0.0,100814.0,0.0
30.0,100797.0,0.0,100842.0,0.0
31.0,100825.0,0.0,100867.0,0.0
32.0,100848.0,0.0,100892.0,0.0
33.0,100874.0,0.0,100924.0,0.0
34.0,100899.0,0.0,100950.0,0.0
35.0,100927.0,0.0,100967.0,0.0
36.0,100957.0,0.0,101001.0,0.0
37.0,100977.0,0.0,101025.0,0.0
38.0,101007.0,0.0,101048.0,0.0
39.0,101027.0,0.0,101070.0,0.0
40.0,101058.0,0.0,101103.0,0.0
41.0,101085.0,0.0,101134.0,0.0
42.0,101110.0,0.0,101155.0,0.0
43.0,101135.0,0.0,101185.0,0.0
44.0,101165.0,0.0,101216.0,0.0
45.0,101192.0,0.0,101243.0,0.0
46.0,101211.0,0.0,101273.0,0.0
47.0,101233.0,0.0,101307.0,0.0
48.0,101255.0,0.0,101337.0,0.0
49.0,101280.0,0.0,101360.0,0.0
50.0,101307.0,0.0,101391.0,0.0
51.0,101335.0,0.0,101426.0,0.0
52.0,101352.0,0.0,101450.0,0.0
53.0,101382.0,0.0,101473.0,0.0
54.0,101417.0,0.0,101506.0,0.0
55.0,101454.0,0.0,101534.0,0.0
56.0,101485.0,0.0,101570.0,0.0
57.0,101513.0,0.0,101593.0,0.0
58.0,101545.0,0.0,101619.0,0.0
59.0,101572.0,0.0,101650.0,0.0
60.0,101598.0,0.0,101681.0,0.0
61.0,101633.0,0.0,101719.0,0.0
62.0,101668.0,0.0,101751.0,0.0
63.0,101695.0,0.0,101782.0,0.0
64.0,101721.0,0.0,101822.0,0.0
65.0,101751.0,0.0,101845.0,0.0
66.0,101773.0,0.0,101870.0,0.0
67.0,101808.0,0.0,101896.0,0.0
68.0,101839.0,0.0,101930.0,0.0
69.0,101865.0,0.0,101961.0,0.0
70.0,101896.0,0.0,101991.0,0.0
71.0,101913.0,0.0,102014.0,0.0
72.0,101950.0,0.0,102043.0,0.0
73.0,101978.0,0.0,102071.0,0.0
74.0,102005.0,0.0,102096.0,0.0
75.0,102038.0,0.0,102124.0,0.0
76.0,102065.0,0.0,102163.0,0.0
77.0,102090.0,0.0,102193.0,0.0
78.0,102121.0,0.0,102222.0,0.0
79.0,102146.0,0.0,102243.0,0.0
80.0,102173.0,0.0,102272.0,0.0
81.0,102201.0,0.0,102291.0,0.0
82.0,102237.0,0.0,102316.0,0.0
83.0,102265.0,0.0,102349.0,0.0
84.0,102292.0,0.0,102381.0,0.0
85.0,102318.0,0.0,102420.0,0.0
86.0,102344.0,0.0,102449.0,0.0
87.0,102380.0,0.0,102472.0,0.0
88.0,102414.0,0.0,102502.0,0.0
89.0,102450.0,0.0,102518.0,0.0
90.0,102484.0,0.0,102547.0,0.0
91.0,102509.0,0.0,102569.0,0.0
92.0,102526.0,0.0,102602.0,0.0
93.0,102556.0,0.0,102631.0,0.0
94.0,102596.0,0.0,102664.0,0.0
95.0,102633.0,0.0,102695.0,0.0
96.0,102662.0,0.0,102728.0,0.0
97.0,102694.0,0.0,102760.0,0.0
98.0,102719.0,0.0,102796.0,0.0
99.0,102748.0,0.0,102825.0,0.0
100.0,102774.0,0.0,102856.0,0.0
101.0,102798.0,0.0,102884.0,0.0
102.0,102829.0,0.0,102909.0,0.0
103.0,102864.0,0.0,102939.0,0.0
