,Experiments,LDM,SIM
131,E0_I2_P30,,2.637889844197801e-14
132,E0_I2_P31,,0.0
133,E0_I2_P32,,0.0
134,E0_I2_P33,,0.0
135,E0_I2_P34,,0.0
136,E0_I2_P35,,0.0
137,E0_I2_P36,,0.0
138,E0_I2_P37,,0.0
139,E0_I2_P38,,0.0
140,E0_I2_P39,,0.0
141,E0_I2_P40,,0.0
142,E0_I2_P41,,5.350947400081244e-14
143,E0_I2_P42,,0.0
144,E0_I2_P43,,0.0
145,E0_I2_P44,,4.000829315204018e-14
146,E0_I2_P45,,0.0
147,E0_I2_P46,,0.0
148,E0_I2_P47,,9.687062995325481e-15
149,E0_I2_P48,,0.0
150,E0_I2_P49,,0.0
151,E0_I2_P50,,0.0
152,E0_I2_P51,,0.0
153,E0_I2_P52,,0.0
154,E0_I2_P53,,1.3876040996509085e-14
155,E0_I2_P54,,3.226296841323654e-14
156,E0_I2_P55,,0.0
157,E0_I2_P56,,3.669034762593177e-14
158,E0_I2_P57,,8.776503490889591e-14
159,E0_I2_P58,,2.3445443069282413e-14
160,E0_I2_P59,,3.1301392593994817e-14
161,E0_I2_P60,,1.4812594903371448e-14
162,E0_I2_P61,,2.3393647809077146e-13
163,E0_I2_P62,,0.0
164,E0_I2_P63,,0.0
165,E0_I2_P64,,0.0
166,E0_I2_P65,,0.0
167,E0_I2_P66,,1.9427165852714148e-14
168,E0_I2_P67,,0.0
169,E0_I2_P68,,0.0
170,E0_I2_P69,,0.0
171,E0_I2_P70,,0.0
172,E0_I2_P71,,0.0
173,E0_I2_P72,,0.0
174,E0_I2_P73,,0.0
175,E0_I2_P74,,1.5811943829812292e-14
176,E0_I2_P75,,0.0
177,E0_I2_P76,,6.824566615875772e-14
178,E0_I2_P77,,2.205124226705188e-14
179,E0_I2_P78,,0.0
180,E0_I2_P79,,2.6160996564469108e-14
181,E0_I2_P80,,2.1968169120083996e-14
182,E0_I2_P81,,0.0
183,E0_I2_P82,,0.0
184,E0_I2_P83,,0.0
185,E0_I2_P84,,2.653017186953716e-14
186,E0_I2_P85,,1.9567336831636357e-14
187,E0_I2_P86,,0.0
188,E0_I2_P87,,0.0
189,E0_I2_P88,,0.0
190,E0_I2_P89,,0.0
191,E0_I2_P90,,0.0
192,E0_I2_P91,,0.0
193,E0_I2_P92,,0.0
194,E0_I2_P93,,2.644330557201594e-14
195,E0_I2_P94,,0.0
196,E0_I2_P95,,0.0
197,E0_I2_P96,,4.6863500876323444e-14
198,E0_I2_P97,,0.0
199,E0_I2_P98,,0.0
200,E0_I2_P99,,2.2142080444922024e-14
201,E1_I2_P0,,2.1007454398245376e-14
202,E1_I2_P1,,2.2883508861843583e-14
203,E1_I2_P2,,1.609354850226017e-14
204,E1_I2_P3,,0.0
205,E1_I2_P4,,2.0336559175788984e-14
206,E1_I2_P5,,2.3520790878530538e-14
207,E1_I2_P6,,0.0
208,E1_I2_P7,,1.6478723277120616e-14
209,E1_I2_P8,,2.6072947303693737e-13
210,E1_I2_P9,,0.0
211,E1_I2_P10,,1.6581028545218865e-14
212,E1_I2_P11,,0.0
213,E1_I2_P12,,0.0
214,E1_I2_P13,,0.0
215,E1_I2_P14,,0.0
216,E1_I2_P15,,0.0
217,E1_I2_P16,,2.9013950591245243e-14
218,E1_I2_P17,,1.8322160698900243e-14
219,E1_I2_P18,,0.0
220,E1_I2_P19,,1.5517721558656005e-14
221,E1_I2_P20,,0.0
222,E1_I2_P21,,1.5340800157433642e-14
223,E1_I2_P22,,0.0
224,E1_I2_P23,,0.0
225,E1_I2_P24,,0.0
226,E1_I2_P25,,0.0
227,E1_I2_P26,,0.0
228,E1_I2_P27,,0.0
229,E1_I2_P28,,4.0279351310374625e-14
230,E1_I2_P29,,1.7189144447465445e-14
231,E1_I2_P30,,1.4346240280753143e-14
232,E1_I2_P31,,0.0
233,E1_I2_P32,,1.6971568410772502e-14
234,E1_I2_P33,,0.0
235,E1_I2_P34,,0.0
236,E1_I2_P35,,1.2569755511138278e-14
237,E1_I2_P36,,0.0
238,E1_I2_P37,,0.0
239,E1_I2_P38,,0.0
240,E1_I2_P39,,0.0
241,E1_I2_P40,,3.469329104813304e-14
242,E1_I2_P41,,0.0
243,E1_I2_P42,,0.0
244,E1_I2_P43,,0.0
245,E1_I2_P44,,2.51889266997953e-14
246,E1_I2_P45,,0.0
247,E1_I2_P46,,4.690902079249065e-14
248,E1_I2_P47,,4.0636648823967716e-14
249,E1_I2_P48,,1.6897621027434062e-13
250,E1_I2_P49,,1.189974119696992e-14
251,E1_I2_P50,,0.0
252,E1_I2_P51,,0.0
253,E1_I2_P52,,0.0
254,E1_I2_P53,,1.479730461198445e-14
255,E1_I2_P54,,0.0
256,E1_I2_P55,,0.0
257,E1_I2_P56,,0.0
258,E1_I2_P57,,2.7956333896215473e-14
259,E1_I2_P58,,0.0
260,E1_I2_P59,,0.0
261,E1_I2_P60,,0.0
262,E1_I2_P61,,4.94419566572078e-14
263,E1_I2_P62,,0.0
264,E1_I2_P63,,0.0
265,E1_I2_P64,,1.1508221447000493e-14
266,E1_I2_P65,,4.496695266656247e-14
267,E1_I2_P66,,1.9688520145272277e-14
268,E1_I2_P67,,2.4128631537682387e-14
269,E1_I2_P68,,0.0
270,E1_I2_P69,,0.0
271,E1_I2_P70,,1.7804081633687018e-14
272,E1_I2_P71,,0.0
273,E1_I2_P72,,0.0
274,E1_I2_P73,,2.6942611872239256e-14
275,E1_I2_P74,,0.0
276,E1_I2_P75,,0.0
277,E1_I2_P76,,0.0
278,E1_I2_P77,,0.0
279,E1_I2_P78,,0.0
280,E1_I2_P79,,0.0
281,E1_I2_P80,,2.6866297201120108e-14
282,E1_I2_P81,,0.0
283,E1_I2_P82,,0.0
284,E1_I2_P83,,4.82559166681247e-14
285,E1_I2_P84,,0.0
286,E1_I2_P85,,0.0
287,E1_I2_P86,,3.697850988034553e-14
288,E1_I2_P87,,1.9938157931742035e-14
289,E1_I2_P88,,2.2987916397201798e-14
290,E1_I2_P89,,0.0
291,E1_I2_P90,,1.8731785197058732e-14
292,E1_I2_P91,,0.0
293,E1_I2_P92,,0.0
