,Experiments,LDM,SIM,ASM,TDR,p0,Tt
0,time,1.1997222222222221,1.9741666666666666,1.9741666666666666,1.9741666666666666,n/a,n/a
1,E0_I1,1.0474457083762117e-06,9.338627874480774e-07,1.0743400421243421e-06,1.775087029854443e-07,0.02,5
2,E1_I1,8.767806115243753e-07,7.58417804270017e-07,8.738168614732808e-07,1.4484488018612566e-07,0.04,4
3,E2_I1,1.0900400348009358e-06,2.1951426145737385e-07,2.480982356003535e-07,4.2177408725451425e-08,0.03,1
4,E3_I1,8.4015178388919e-07,4.0117570072905985e-07,4.493656998970564e-07,7.489976071398945e-08,0.05,2
5,E4_I1,7.728055399369564e-07,8.219222765043055e-07,9.300779457296447e-07,1.5607889850751112e-07,0.07,4
6,E5_I1,1.234557502368398e-06,7.465169322818004e-07,8.389572083771074e-07,1.4615449260640959e-07,0.03,3
7,E6_I1,1.208587056731538e-06,1.528347171350527e-06,1.726384946675298e-06,2.931391043880076e-07,0.02,7
8,E7_I1,1.1569413445701581e-06,1.2673198141469314e-06,1.4188313466337779e-06,2.3889739297247484e-07,0.02,6
9,E8_I1,8.405154113027069e-07,8.921581486666098e-07,1.0084046865533688e-06,1.719862109195464e-07,0.07,4
10,E9_I1,7.055993091711674e-07,1.4991425239839966e-06,1.7088123842990501e-06,2.7569738572710955e-07,0.05,9
11,E10_I1,7.862039133221205e-07,6.810894527799803e-07,7.865778386918171e-07,1.277565920085888e-07,0.04,4
12,E11_I1,1.3313206842305763e-06,1.845003220422298e-06,2.0821545162062283e-06,3.4906278097735834e-07,0.01,9
13,E12_I1,1.1710532465125154e-06,8.972612010215121e-07,1.0222066350212639e-06,1.6727277958348744e-07,0.01,5
14,E13_I1,9.98031173146748e-07,8.028024455789148e-07,9.116007149312591e-07,1.52371409577244e-07,0.03,4
15,E14_I1,1.016477315282368e-06,1.0362489014736513e-06,1.1597831485552013e-06,1.9453276556222244e-07,0.03,5
16,E15_I1,9.902724495145858e-07,7.972207395494657e-07,9.0477154668071e-07,1.5100555923191173e-07,0.03,4
17,E16_I1,9.68621098325364e-07,4.3022128219233465e-07,4.8091642197492e-07,8.124553631945614e-08,0.04,2
18,E17_I1,1.062888509862761e-06,1.1634986555221673e-06,1.307527729755134e-06,2.166336986282971e-07,0.02,6
19,E18_I1,1.185926108549565e-06,3.6130988698661853e-07,4.1389108617288867e-07,6.788819940502102e-08,0.01,2
20,E19_I1,1.0749357906257173e-06,4.900871440010174e-07,5.646631753314072e-07,9.09514867043706e-08,0.01,3
21,E20_I1,1.2310349340473447e-06,2.0152865522763715e-06,2.259299622353926e-06,3.8499947094656033e-07,0.02,9
22,E21_I1,7.539409623965528e-07,1.21032154514465e-06,1.3622943051122124e-06,2.2753529783517229e-07,0.07,6
23,E22_I1,7.341924509258692e-07,1.1331215570714883e-06,1.2884811970064653e-06,2.0666465463863615e-07,0.04,7
24,E23_I1,1.0786376152978813e-06,7.707433790940851e-07,8.841317681853624e-07,1.4689222776146692e-07,0.02,4
25,E24_I1,1.0382386846158376e-06,1.9017119401883094e-06,2.1306374470844653e-06,3.5882884007859785e-07,0.03,9
26,E25_I1,8.348351653599653e-07,5.562153688409119e-07,6.251044678648101e-07,1.0266842421319796e-07,0.04,3
27,E26_I1,9.120891810420346e-07,3.765418933168416e-07,4.179038910719029e-07,6.867461276574864e-08,0.03,2
28,E27_I1,1.1962642594173216e-06,1.85370443549499e-07,2.0868535761396303e-07,3.428501154093487e-08,0.01,1
29,E28_I1,9.477134982941407e-07,1.143049413085756e-06,1.3008973486978925e-06,2.1532098140934795e-07,0.03,6
30,E29_I1,6.095160192880297e-07,1.0281857639824929e-06,1.1662246222362317e-06,1.8899858156564532e-07,0.08,6
31,E30_I1,8.363499310562e-07,1.6059030074607694e-06,1.7562920030584816e-06,2.9925130316461243e-07,0.07,7
32,E31_I1,1.2345888862079827e-06,2.266418678614755e-07,2.5173061521551e-07,4.292059175478264e-08,0.02,1
33,E32_I1,7.7367338131897e-07,5.082114488818098e-07,5.808549280883768e-07,9.406382042087915e-08,0.04,3
34,E33_I1,1.273768058573111e-06,7.805585237672314e-07,8.645390124221464e-07,1.5155371734367858e-07,0.03,3
35,E34_I1,1.0707636255944082e-06,8.250796311952249e-07,9.375775984602718e-07,1.5091016637725115e-07,0.01,5
36,E35_I1,1.1045650994008868e-06,9.012542461098027e-07,1.0051155220615906e-06,1.713121048940592e-07,0.03,4
37,E36_I1,9.683667588245167e-07,7.033985446577505e-07,7.967950619863079e-07,1.2973652441721663e-07,0.02,4
38,E37_I1,1.1419784062985034e-06,6.942134485711472e-07,7.783855231684082e-07,1.3353288487649274e-07,0.03,3
39,E38_I1,9.14028130584329e-07,1.1926788406044725e-06,1.3643474073046465e-06,2.2794599685799237e-07,0.04,6
40,E39_I1,inf,1.0848001521514255e-06,1.2397052138305388e-06,2.0327940500118157e-07,0.0,6
41,E40_I1,1.1081650756787896e-06,0.0,0.0,0.0,0.03,0
42,E41_I1,1.235358195968656e-06,5.606521186127528e-07,6.457743939007798e-07,1.0673636693742837e-07,0.01,3
43,E42_I1,1.303575298969054e-06,4.0794735925273314e-07,4.534074199306465e-07,7.570698542487223e-08,0.01,2
44,E43_I1,1.0331205638758398e-06,0.0,0.0,0.0,0.02,0
45,E44_I1,9.209817778830625e-07,2.0347175297343396e-06,2.320080201101042e-06,3.8195441106735825e-07,0.03,11
46,E45_I1,1.3067510803731944e-06,1.0101784681503372e-06,1.1361791575980784e-06,1.8979954965881254e-07,0.01,5
47,E46_I1,9.687043681195957e-07,1.9905800414083323e-07,2.214434492517603e-07,3.680466465264181e-08,0.03,1
48,E47_I1,8.43699067306084e-07,5.479748978095188e-07,6.315045125230084e-07,1.0392472773540016e-07,0.04,3
49,E48_I1,9.026478727759099e-07,6.405971306111219e-07,7.222798256342037e-07,1.2205183785657443e-07,0.05,3
50,E49_I1,1.4496495980906698e-06,9.054059408222091e-07,1.0044633372002347e-06,1.7117850408817063e-07,0.01,4
51,E50_I1,1.2728457785260949e-06,2.322518055059572e-07,2.5923065700693797e-07,4.4463237572858565e-08,0.02,1
52,E51_I1,5.978453837306972e-07,8.3285905936123e-07,9.538827116541404e-07,1.5403775074014754e-07,0.08,5
53,E52_I1,6.593159609795284e-07,1.2203807773896358e-06,1.39654430210311e-06,2.274568048154815e-07,0.07,7
54,E53_I1,1.2243704109465681e-06,1.482387927586216e-06,1.7072943279506325e-06,2.817154109158207e-07,0.01,8
55,E54_I1,1.5526061747632827e-06,1.4539097545127336e-06,1.6094829349297245e-06,2.779927588446176e-07,0.01,6
56,E55_I1,9.575396354919796e-07,3.8224667184304085e-07,4.37965805483941e-07,7.263208507831917e-08,0.03,2
57,E56_I1,8.399798698561602e-07,3.685387841324096e-07,4.1921300761500787e-07,6.893154349823379e-08,0.04,2
58,E57_I1,1.0599935303177878e-06,8.617363674446866e-07,9.660479379495634e-07,1.6334602572789744e-07,0.03,4
59,E58_I1,9.173123413412944e-07,1.624782615225394e-06,1.890511182575549e-06,3.047628521389994e-07,0.02,10
60,E59_I1,8.260994623877536e-07,0.0,0.0,0.0,0.04,0
61,E60_I1,9.510654922108535e-07,1.2900667250953895e-06,1.417561686760065e-06,2.3864104425502706e-07,0.04,6
62,E61_I1,1.004201446238397e-06,5.94532692435699e-07,6.877724222931889e-07,1.1509422822011495e-07,0.03,3
63,E62_I1,1.3209362747332097e-06,2.4149671027510858e-06,2.755342575442197e-06,4.612295885007622e-07,0.01,12
64,E63_I1,8.999110066245039e-07,1.811784579080459e-07,2.0626023498382212e-07,3.380999509670546e-08,0.03,1
65,E64_I1,1.19557208511145e-06,1.505037902825125e-06,1.7084865169843038e-06,2.894932059563227e-07,0.02,7
66,E65_I1,1.2368779310898345e-06,1.716997275529499e-06,1.939620954123258e-06,3.206630628057622e-07,0.01,9
67,E66_I1,8.343070734931677e-07,1.3246603700311365e-06,1.5338409275710098e-06,2.4792732754175096e-07,0.03,8
68,E67_I1,1.0461168178385988e-06,1.1223886933243994e-06,1.283415253631504e-06,2.05699226180081e-07,0.01,7
69,E68_I1,1.0410820235892944e-06,1.1298301733620092e-06,1.288728848686996e-06,2.207847662043875e-07,0.04,5
70,E69_I1,1.0605192656815155e-06,6.350809701698439e-07,7.248819179640443e-07,1.2257973213999513e-07,0.03,3
71,E70_I1,9.563051109831632e-07,6.254598179078871e-07,7.125407602558904e-07,1.200800573742514e-07,0.04,3
72,E71_I1,1.3683598193567224e-06,1.2210449879405452e-06,1.3895298221868582e-06,2.4175611642974567e-07,0.02,5
73,E72_I1,1.316294099865529e-06,1.0048986733128222e-06,1.1441722238774134e-06,1.913998093964138e-07,0.01,5
74,E73_I1,1.1423799651890801e-06,4.094495147072815e-07,4.6720966127398244e-07,7.847626558918754e-08,0.02,2
75,E74_I1,9.112465237636603e-07,7.310224484078551e-07,8.350629996837265e-07,1.3720311988918376e-07,0.03,4
76,E75_I1,1.21717769762152e-06,1.7714907635986464e-06,1.986507041808328e-06,3.3777083996472485e-07,0.02,8
77,E76_I1,1.0961807922137077e-06,1.1015453601990298e-06,1.2472158726958154e-06,2.1226140305933633e-07,0.03,5
78,E77_I1,8.444109396212401e-07,3.334342462522457e-07,3.8794257025079896e-07,6.284536671277003e-08,0.03,2
79,E78_I1,1.2353769329460365e-06,1.1327487269849559e-06,1.2594261238793385e-06,2.147614108106599e-07,0.02,5
80,E79_I1,1.4362418476211278e-06,1.1044503591949988e-06,1.2444020447358115e-06,2.1168611056513735e-07,0.01,5
81,E80_I1,9.34229318512154e-07,2.0813300477436452e-07,2.3223079245950619e-07,3.896166993769367e-08,0.04,1
82,E81_I1,1.0677627940011739e-06,9.691473726942573e-07,1.0944228371747346e-06,1.8148270608645266e-07,0.02,5
83,E82_I1,9.201205543436772e-07,6.102632593543911e-07,6.86553986194986e-07,1.1485003485411433e-07,0.04,3
84,E83_I1,7.38028833522181e-07,1.2706561026365778e-06,1.4746786313492011e-06,2.427206137502788e-07,0.06,7
85,E84_I1,9.50840073446139e-07,9.728296501071257e-07,1.0875287771072963e-06,1.8011658442183188e-07,0.03,5
86,E85_I1,9.724596574782285e-07,6.958172709118778e-07,8.000447625682573e-07,1.303674733154078e-07,0.02,4
87,E86_I1,1.1991468655469463e-06,1.735286509091874e-06,1.958175527920283e-06,3.3199303594808143e-07,0.02,8
88,E87_I1,7.19390481796443e-07,6.790086141837349e-07,7.73799130095591e-07,1.252884551339928e-07,0.05,4
89,E88_I1,1.1059712932850143e-06,3.4074428429448905e-07,3.8693094083888603e-07,6.265027647723635e-08,0.01,2
90,E89_I1,8.984394762522264e-07,3.6289865385324624e-07,4.118697417859115e-07,6.749272360946766e-08,0.03,2
91,E90_I1,inf,9.654575572858963e-07,1.0771231655699552e-06,1.8618944450146497e-07,0.0,4
92,E91_I1,1.3497642179637186e-06,1.436907771240966e-06,1.6410575717900655e-06,2.75840001765376e-07,0.01,7
