,Experiments,LDM,SIM,ASM,TDR,p0,Tt
0,time,3.7030555555555558,6.780555555555556,6.780555555555556,6.780555555555556,n/a,n/a
1,E0_I1,8.272629367270374e-07,1.4260131836056746e-06,1.6648758692820928e-06,3.3786922771541276e-07,0.06,7
2,E1_I1,1.123570430503013e-06,4.5089155117342163e-07,5.164810601944237e-07,1.0697502574420852e-07,0.03,2
3,E2_I1,inf,7.172819171230365e-07,8.235535318402885e-07,1.7323352618459392e-07,0.0,3
4,E3_I1,9.475523071600244e-07,2.065808047269246e-06,2.402159762466908e-06,5.171274050989602e-07,0.08,8
5,E4_I1,1.0764469268345773e-06,7.032604090344015e-07,8.070786704674166e-07,1.6889797547485982e-07,0.04,3
6,E5_I1,9.893737287733472e-07,5.277193974611457e-07,5.957832124189074e-07,1.2799169999423877e-07,0.07,2
7,E6_I1,1.1421228963766276e-06,1.2958312987785605e-06,1.5246075902561264e-06,3.295364147624405e-07,0.05,5
8,E7_I1,9.712479508325976e-07,8.21128077036926e-07,9.223012917642082e-07,1.9978146904009048e-07,0.08,3
9,E8_I1,1.0626330777079883e-06,7.405633832374267e-07,8.538590695441946e-07,1.8127941938377324e-07,0.05,3
10,E9_I1,1.1650221008012116e-06,6.731562566302392e-07,8.020536247034037e-07,1.675810025818367e-07,0.03,3
11,E10_I1,8.961900446767188e-07,1.2258329601701133e-06,1.450811326633308e-06,2.956248993027687e-07,0.05,6
12,E11_I1,8.874863830371763e-07,2.064824186510941e-07,2.395507140026826e-07,4.86999357355648e-08,0.05,1
13,E12_I1,9.71728462032563e-07,7.887526734596136e-07,8.987763345270457e-07,1.7989135731312109e-07,0.03,4
14,E13_I1,8.653475745857691e-07,7.578918494946645e-07,8.645662525980597e-07,1.8414378953739795e-07,0.09,3
15,E14_I1,1.0157651689899102e-06,5.646336739713149e-07,6.417254526148624e-07,1.4058856559454762e-07,0.08,2
16,E15_I1,9.686477640140834e-07,7.637839881317007e-07,8.75785825105831e-07,1.8715729452339857e-07,0.07,3
17,E16_I1,1.193789634145754e-06,2.5474921645863667e-07,2.969916732214467e-07,6.375219267697688e-08,0.04,1
18,E17_I1,1.0618885551029099e-06,2.2686433347630998e-07,2.655441295978996e-07,5.53876839475179e-08,0.04,1
19,E18_I1,1.1004738805477586e-06,1.1062889707590242e-06,1.249901688006713e-06,2.719082418447071e-07,0.06,4
20,E19_I1,1.2456183439378863e-06,1.2505866731438874e-06,1.4250528133692002e-06,3.0265427801821977e-07,0.03,5
21,E20_I1,1.0791385117636472e-06,8.66172189735392e-07,9.938112821798121e-07,2.038669508724862e-07,0.03,4
22,E21_I1,1.053269853307345e-06,1.253838836776574e-06,1.4111112896117817e-06,2.989361415753196e-07,0.05,5
23,E22_I1,1.2572413971065717e-06,2.0568224060443173e-06,2.3391652321299485e-06,5.180739726741142e-07,0.05,7
24,E23_I1,9.504466444487588e-07,4.3715794741769513e-07,5.11614523698248e-07,1.0571615160436153e-07,0.05,2
25,E24_I1,8.849188324694234e-07,1.4138088537383929e-06,1.6722046953308812e-06,3.3972240772481194e-07,0.05,7
26,E25_I1,9.900307293467984e-07,1.7133350317580474e-06,1.9772038659964214e-06,4.1894950506352846e-07,0.06,7
